/Users/jorgemansilla/IGs/GG/clcore_publish/temp/hl7.fhir.cl.clcore#1.8.3/fsh-generated/resources/AuditEvent-AuditEventEx.json: line 26, col 8, Info - Reference to experimental item http://terminology.hl7.org/CodeSystem/extra-security-role-type|0.2.0 (BUSINESSRULE)
/Users/jorgemansilla/IGs/GG/clcore_publish/temp/hl7.fhir.cl.clcore#1.8.3/fsh-generated/resources/StructureDefinition-NombreCampana.json: line 0, col 0, Warning - Review the extension type: extensions should not have a context of Element unless it's really intended that they can be used anywhere (BUSINESSRULE)
/Users/jorgemansilla/IGs/GG/clcore_publish/temp/hl7.fhir.cl.clcore#1.8.3/fsh-generated/resources/StructureDefinition-NotasEncuentro.json: line 0, col 0, Warning - Review the extension type: extensions should not have a context of Element unless it's really intended that they can be used anywhere (BUSINESSRULE)
/Users/jorgemansilla/IGs/GG/clcore_publish/temp/hl7.fhir.cl.clcore#1.8.3/fsh-generated/resources/StructureDefinition-ObservacionesDiagnostico.json: line 0, col 0, Warning - Review the extension type: extensions should not have a context of Element unless it's really intended that they can be used anywhere (BUSINESSRULE)
/Users/jorgemansilla/IGs/GG/clcore_publish/temp/hl7.fhir.cl.clcore#1.8.3/fsh-generated/resources/StructureDefinition-ProvinciasCl.json: line 0, col 0, Warning - Review the extension type: extensions should not have a context of Element unless it's really intended that they can be used anywhere (BUSINESSRULE)
/Users/jorgemansilla/IGs/GG/clcore_publish/temp/hl7.fhir.cl.clcore#1.8.3/fsh-generated/resources/StructureDefinition-ProvinciasCl.json: line 0, col 0, Warning - The Implementation Guide contains no examples for this extension (BUSINESSRULE)
/Users/jorgemansilla/IGs/GG/clcore_publish/temp/hl7.fhir.cl.clcore#1.8.3/fsh-generated/resources/StructureDefinition-RazonNOrealizarse.json: line 0, col 0, Warning - Review the extension type: extensions should not have a context of Element unless it's really intended that they can be used anywhere (BUSINESSRULE)
/Users/jorgemansilla/IGs/GG/clcore_publish/temp/hl7.fhir.cl.clcore#1.8.3/fsh-generated/resources/StructureDefinition-RazonNOrealizarseInm.json: line 0, col 0, Warning - Review the extension type: extensions should not have a context of Element unless it's really intended that they can be used anywhere (BUSINESSRULE)
/Users/jorgemansilla/IGs/GG/clcore_publish/temp/hl7.fhir.cl.clcore#1.8.3/fsh-generated/resources/StructureDefinition-RegionesCl.json: line 0, col 0, Warning - Review the extension type: extensions should not have a context of Element unless it's really intended that they can be used anywhere (BUSINESSRULE)
/Users/jorgemansilla/IGs/GG/clcore_publish/temp/hl7.fhir.cl.clcore#1.8.3/fsh-generated/resources/StructureDefinition-RegionesCl.json: line 0, col 0, Warning - The Implementation Guide contains no examples for this extension (BUSINESSRULE)
/Users/jorgemansilla/IGs/GG/clcore_publish/temp/hl7.fhir.cl.clcore#1.8.3/fsh-generated/resources/StructureDefinition-SegundoApellido.json: line 0, col 0, Warning - Review the extension type: extensions should not have a context of Element unless it's really intended that they can be used anywhere (BUSINESSRULE)
/Users/jorgemansilla/IGs/GG/clcore_publish/temp/hl7.fhir.cl.clcore#1.8.3/fsh-generated/resources/StructureDefinition-SegundoApellido.json: line 0, col 0, Warning - The Implementation Guide contains no examples for this extension (BUSINESSRULE)
/Users/jorgemansilla/IGs/GG/clcore_publish/temp/hl7.fhir.cl.clcore#1.8.3/fsh-generated/resources/StructureDefinition-ServicioSalud.json: line 0, col 0, Warning - Review the extension type: extensions should not have a context of Element unless it's really intended that they can be used anywhere (BUSINESSRULE)
/Users/jorgemansilla/IGs/GG/clcore_publish/temp/hl7.fhir.cl.clcore#1.8.3/fsh-generated/resources/StructureDefinition-TiposEncuentro.json: line 0, col 0, Warning - Review the extension type: extensions should not have a context of Element unless it's really intended that they can be used anywhere (BUSINESSRULE)
/Users/jorgemansilla/IGs/GG/clcore_publish/temp/hl7.fhir.cl.clcore#1.8.3/fsh-generated/resources/StructureDefinition-TiposServicio.json: line 0, col 0, Warning - Review the extension type: extensions should not have a context of Element unless it's really intended that they can be used anywhere (BUSINESSRULE)
/Users/jorgemansilla/IGs/GG/clcore_publish/temp/hl7.fhir.cl.clcore#1.8.3/fsh-generated/resources/StructureDefinition-TiposVacunaRNI.json: line 0, col 0, Warning - Review the extension type: extensions should not have a context of Element unless it's really intended that they can be used anywhere (BUSINESSRULE)
/Users/jorgemansilla/IGs/GG/clcore_publish/temp/hl7.fhir.cl.clcore#1.8.3/fsh-generated/resources/StructureDefinition-VSEspecialidadesDeisCL.json: line 0, col 0, Warning - Review the extension type: extensions should not have a context of Element unless it's really intended that they can be used anywhere (BUSINESSRULE)
/Users/jorgemansilla/IGs/GG/clcore_publish/temp/hl7.fhir.cl.clcore#1.8.3/fsh-generated/resources/StructureDefinition-cl-address.json: line 0, col 0, Warning - The Implementation Guide contains no examples for this data type profile (BUSINESSRULE)

clcore : Validation Results
=========================================

err = 0, warn = 30, info = 11
IG Publisher Version: 1.4.2
Generated Fri Sep 01 23:07:58 CLT 2023. FHIR version 4.0.1 for hl7.fhir.cl.clcore#1.8.3 (canonical = https://hl7chile.cl/fhir/ig/clcore)
